"id","name","party","state","vote.1850","vote.1851","vote.1852","vote.1855","vote.1856","vote.1857","vote.1858","vote.1859","vote.1860","vote.1861","vote.1862","vote.1863","vote.1864","vote.1865","vote.1866","vote.1867","vote.1869","vote.1870","vote.1871","vote.1872","vote.1874","vote.1875","vote.1876","vote.1877","vote.1880","vote.1882","vote.1883","vote.1884","vote.1885","vote.1886","vote.1887","vote.1888","vote.1899","vote.1900","vote.1901","vote.1902","vote.1903","vote.1904","vote.1905.x","vote.1905.y","vote.1906","vote.1908","vote.1909","vote.1910","vote.1911","vote.1912","vote.1915","vote.1916","vote.1917","vote.1919","vote.1920","vote.1921","vote.1922","vote.1923","vote.1924","vote.1925","vote.1926","vote.1927","vote.1928","vote.1929","vote.1930","vote.1931","vote.1932","vote.1933","vote.1934","vote.1936","vote.1937","vote.1938","vote.1939","vote.1940","vote.1941","vote.1942","vote.1943","vote.1944","vote.1946","vote.1947","vote.1948","vote.1950","vote.1951","vote.1952","vote.1953","vote.1954","vote.1956","vote.1957","vote.1958","vote.1959","vote.1960","vote.1961","vote.1962","vote.1963","vote.1964","vote.1965","vote.1966","vote.1967","vote.1969","vote.1970","vote.1971","vote.1972","vote.1973","vote.1974","vote.1975","vote.1976","vote.1977","vote.1978","vote.1979","vote.1980","vote.1981","vote.1983","vote.1984","vote.1985","vote.1986","vote.1987","vote.1988","vote.1989","vote.1990","vote.1991","vote.1992","vote.1993","vote.1994","vote.1996","vote.1997","vote.1999","vote.2000","vote.2001","vote.2002","vote.2003","vote.2004","vote.2005","vote.2006","vote.2007","vote.2008","vote.2009","vote.2010","vote.2011","vote.2012","vote.2014","vote.2015","vote.2017","vote.2018","vote.2019","vote.2020","vote.2021","vote.2022","vote.2023","vote.2024"
18,"ANN PONTES","PMDB","PA",1,2,1,2,2,1,1,1,4,1,5,4,2,1,1,1,2,1,1,4,2,4,1,1,4,4,4,1,1,2,1,1,2,1,4,1,1,1,4,4,4,2,2,2,1,1,1,2,2,1,1,1,5,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,2,1,4,4,4,4,1,2,2,2,1,2,1,4,1,2,4,2,2,1,2,2,2,2,1,4,1,1,2,2,2,2,2,2,2,2,4,4,2,2,1,1,1,1,2,2,4,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,4,1,4,2,2,2,2,1,2,1
47,"ANSELMO","PT","RO",1,2,1,2,4,4,1,1,2,1,2,1,1,1,4,4,4,1,2,4,4,2,1,4,2,4,2,4,4,2,1,1,2,1,1,4,1,1,2,2,2,2,1,4,1,1,1,2,2,1,1,1,4,2,1,2,4,2,4,1,1,1,1,2,2,2,2,1,2,1,4,2,1,4,1,2,2,2,1,2,1,1,1,2,1,2,2,1,2,2,2,4,1,1,1,1,2,2,2,2,2,2,2,2,2,4,2,2,1,4,4,1,4,2,2,1,1,3,3,2,4,1,4,4,1,1,1,2,4,2,1,2,1,1,1,1,1,4,2,4,2,2,4,2,1
91,"ANTONIO CAMBRAIA","PSDB","CE",1,2,1,4,2,1,1,1,1,1,4,2,2,5,1,1,5,1,1,5,1,1,2,1,1,5,1,1,1,2,1,1,5,1,1,1,1,1,4,4,4,1,2,5,1,2,1,2,2,1,1,1,4,1,2,1,2,4,1,1,1,4,4,4,5,5,5,5,2,1,5,5,5,2,2,2,2,2,2,2,1,1,1,4,4,4,4,4,4,4,4,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,5,1,1,1,1,2,5,5,1,2,1,2,1,1,1,2,5,5,5,5,5,2,1,1,1,5,5,4,4,5,4,4,4
432,"ANTONIO CARLOS BIFFI","PT","MS",4,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,4,1,2,4,2,2,1,1,2,2,2,1,1,2,4,1,2,1,4,1,4,1,4,4,2,4,1,4,1,1,1,2,2,1,1,1,4,2,4,4,1,2,2,1,1,1,1,4,2,2,2,1,4,1,4,2,1,4,1,2,2,2,1,2,1,1,1,4,1,2,2,1,4,2,2,2,1,1,1,1,2,2,2,4,4,2,2,2,2,1,2,2,1,1,1,1,2,2,2,4,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
292,"ANTONIO CARLOS BISCAIA","PT","RJ",1,2,1,2,1,2,1,1,4,1,2,1,1,1,1,4,2,1,2,4,2,2,1,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,1,1,1,4,4,4,4,1,2,2,1,1,1,1,2,2,2,2,1,2,1,4,2,1,4,1,2,2,2,1,4,1,1,1,2,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,4
181,"ANTONIO CARLOS MAGALHAES NETO","PFL","BA",1,2,1,1,2,1,1,1,4,2,4,2,2,5,1,1,5,1,1,4,1,2,2,1,1,5,1,1,1,2,1,1,5,2,1,1,1,1,2,2,2,5,2,2,1,1,4,1,2,1,1,1,4,1,5,1,2,2,4,1,1,1,1,1,5,5,5,5,2,1,4,4,4,2,4,4,4,4,2,4,2,4,2,5,5,1,1,4,4,5,4,5,2,2,2,2,1,1,1,1,1,1,1,1,5,4,5,5,2,2,2,1,1,4,1,1,2,1,5,2,4,2,1,2,1,1,2,5,5,4,5,5,5,2,1,1,1,5,5,4,5,5,5,5,1
332,"ANTONIO CARLOS MENDES THAME","PSDB","SP",1,2,1,1,2,2,1,1,4,1,5,2,2,4,1,1,4,1,1,5,1,1,2,1,1,4,1,1,1,2,1,1,5,1,1,1,4,1,5,5,4,4,4,5,2,2,4,1,4,1,1,1,4,5,4,4,2,4,4,1,1,2,1,5,5,5,4,4,4,2,5,5,5,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,4,2,2,2,2,2,4,1,1,1,1,1,4,1,1,4,1,1,2,2,2,1,4,4,1,1,4,2,4,5,4,2,1,2,5,1,4,2,4,4,5,5,4,2,1,4,1,5,4,4,5,5,5,5,1
334,"ANTONIO CARLOS PANNUNZIO","PSDB","SP",1,2,1,1,2,1,3,1,1,1,4,2,2,4,1,4,4,1,1,4,1,1,2,1,1,5,1,4,4,4,1,1,4,1,4,1,1,1,4,4,4,5,2,4,2,2,4,4,4,1,1,1,4,1,2,4,2,1,1,1,1,2,3,4,4,5,4,4,2,2,4,5,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,1,2,2,2,1,4,1,1,1,1,2,5,4,1,2,1,2,5,4,1,2,4,4,2,4,4,2,1,1,1,5,4,5,4,4,4,4,4
434,"ANTONIO CRUZ","PTB","MS",1,2,1,2,4,2,1,4,2,1,5,1,1,1,4,1,4,1,2,4,2,2,1,1,2,2,2,4,4,4,2,1,5,4,1,4,4,1,4,4,4,4,4,2,1,1,1,2,2,1,1,1,4,4,4,2,1,2,2,1,3,1,1,5,2,2,2,1,4,1,4,2,4,5,1,2,2,2,1,2,1,1,1,2,1,2,2,4,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,4,4,2,2,1,1,1,1,2,4,1,1,2,2,1,1,2,5,5,1,1,2,1,1,1,1,2,2,2,2,2,1,2,1
68,"ANTONIO JOAQUIM","PP","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,4,2,2,4,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,2,1,1,1,2,4,1,1,1,4,4,1,2,2,2,2,1,1,1,1,2,2,2,2,4,2,4,4,2,1,2,1,2,4,2,1,2,1,1,1,2,4,2,2,1,2,2,2,2,1,1,1,1,2,4,2,2,2,2,2,2,2,1,2,4,1,1,1,4,4,2,2,1,1,1,1,4,2,4,4,4,1,1,1,4,4,4,4,4,1,1,1,1,1,2,4,2,2,2,1,4,4
68,"ANTONIO JOAQUIM","PPB","MA",3,2,1,2,4,4,4,4,1,4,4,4,1,1,1,1,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"ANTONIO NOGUEIRA","PT","AP",1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,4,2,4,2,2,1,4,2,2,2,4,1,2,1,1,4,4,4,4,4,4,4,4,4,2,1,2,1,1,1,2,2,1,1,1,5,4,4,4,4,2,2,1,1,1,1,2,2,2,2,1,4,1,4,2,1,4,1,2,4,2,1,2,1,4,1,2,1,4,2,1,2,2,2,2,1,1,1,1,2,2,2,4,4,4,4,2,2,4,4,2,1,1,1,1,2,4,2,1,1,1,1,2,4,4,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,4,2,4,2,1,2,1
223,"ARACELY DE PAULA","PL","MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,4,2,2,2,1,4,4,1,4,4,1,2,4,4,4,4,4,4,4
92,"ARIOSTO HOLANDA","PSDB","CE",1,2,1,2,4,1,4,1,2,1,4,1,2,1,4,1,4,4,2,4,2,2,1,1,2,4,2,1,1,2,1,1,2,1,4,4,4,4,4,4,4,2,1,2,1,1,1,2,2,1,1,1,5,2,1,4,4,2,2,1,1,1,1,2,2,2,2,1,2,1,4,2,1,5,1,2,2,2,1,2,1,1,1,2,1,2,2,1,4,2,2,2,1,1,1,1,2,4,2,4,2,2,2,2,2,1,2,4,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,4,2,2,1,4,1,1,1,1,1,2,4,2,4,2,1,2,1
336,"ARLINDO CHINAGLIA","PT","SP",1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,4,2,2,1,1,2,2,2,4,4,4,1,1,2,4,1,4,1,1,2,2,2,2,1,4,1,1,1,2,2,1,1,1,4,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,2,1,4,2,1,4,1,2,2,2,1,2,1,1,1,2,1,2,2,1,2,2,2,2,1,1,1,1,2,2,4,2,2,2,2,2,2,1,2,4,1,1,1,1,4,2,2,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,1,2,1
144,"ARMANDO MONTEIRO","PMDB","PE",4,2,1,2,2,1,1,2,4,1,3,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,"ARMANDO MONTEIRO","PTB","PE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,2,4,4,2,4,1,4,4,4,4,4,4,2,4,4,1,4,4,4,1,4,4,4,4,4,2,1,1,1,2,2,1,1,4,4,4,4,4,4,2,2,4,1,1,1,4,4,4,4,4,4,1,4,4,1,4,2,4,4,4,2,2,2,4,2,4,4,4,4,4,4,4,4,2,4,2,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,2,1,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,1,4,4,2,4,4,2,1,1
337,"ARNALDO FARIA DE SA","PTB","SP",1,2,1,2,1,1,1,1,2,1,4,1,4,1,1,1,2,1,2,2,4,2,1,1,2,2,2,4,4,4,2,1,2,2,2,1,2,4,1,1,4,1,2,1,2,2,4,2,1,1,2,1,4,1,2,1,2,1,2,1,1,2,1,5,1,2,2,2,1,2,4,1,2,2,2,1,4,1,2,1,1,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,4,1,1,1,2,1,2,2,2,1,2,2,2,2,4,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,4,4,4,4,4
90,"ARNON BEZERRA","PSDB","CE",1,2,1,4,4,2,1,1,1,1,5,2,2,4,1,1,4,4,2,4,2,4,1,4,4,2,2,4,1,2,1,1,4,4,4,4,4,4,4,4,4,2,4,2,1,1,1,2,4,1,1,1,5,4,4,2,4,2,2,1,1,1,1,2,2,2,4,4,2,1,2,2,1,4,1,2,2,2,2,4,1,1,1,4,4,4,4,4,4,4,4,2,1,1,1,1,2,4,2,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"ARNON BEZERRA","PTB","CE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,2,1,1,1,4,4,4,2,1,1,1,1,4,2,1,1,1,1,4,1,2,2,2,1,2,1,1,1,4,1,2,4,4,4,2,4,2,1
288,"AROLDE DE OLIVEIRA","PFL","RJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,4,1,1,1,2,4,4,4,4,4,4,4,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,"AROLDO CEDRAZ","PFL","BA",1,2,1,4,2,1,4,1,1,1,5,2,2,4,1,1,4,1,1,4,4,4,4,4,1,4,1,1,1,2,1,4,4,2,4,4,4,1,2,2,2,1,2,4,1,4,4,1,2,1,1,1,4,4,4,4,4,1,1,1,1,1,1,4,1,4,5,5,5,1,4,5,4,2,4,4,4,1,2,4,2,4,2,4,4,4,4,4,4,5,5,5,2,2,2,2,1,1,1,4,1,4,4,1,4,5,5,5,2,2,2,4,4,4,1,1,2,4,4,4,4,2,1,4,1,1,4,2,4,4,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4
488,"ARY VANAZZI","PT","RS",1,2,1,2,1,2,1,1,2,1,2,1,1,1,4,1,4,1,2,4,4,2,1,1,2,2,2,4,4,4,4,4,2,1,1,1,4,1,2,2,2,4,1,4,1,1,1,2,2,1,1,2,4,2,1,4,4,4,4,4,4,4,4,2,2,2,2,1,2,1,4,2,1,5,1,2,2,2,1,2,1,1,1,2,1,2,2,1,4,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,4,1,2,2,1,1,1,1,2,4,2,4,1,1,2,2,4,1,4,4,1,1,1,4,2,2,4,4,4,4,4,4,1,2,2,2,2,2,1,2,1
20,"ASDRUBAL BENTES","PMDB","PA",1,2,1,2,4,4,4,4,4,4,4,4,4,4,1,1,2,4,4,4,2,4,1,1,2,4,2,4,1,2,1,4,2,1,4,1,4,1,4,4,4,2,2,4,2,1,4,2,4,1,2,1,4,4,4,4,4,4,2,3,1,1,1,2,2,2,2,1,4,2,4,2,1,4,1,4,4,4,1,4,1,1,1,2,1,2,2,1,4,4,2,2,1,1,1,1,2,2,4,4,4,2,2,2,4,4,4,4,4,4,4,4,2,2,4,1,4,1,1,4,2,4,1,1,4,1,1,4,2,2,1,4,4,4,4,4,4,2,4,2,4,2,1,2,1
443,"ASSIS MIGUEL DO COUTO","PT","PR",4,2,1,2,1,2,4,1,2,1,2,1,1,1,1,1,4,4,2,4,2,2,1,4,4,4,2,4,1,4,1,1,2,1,4,1,1,1,2,2,4,2,1,4,1,1,1,2,2,1,1,1,4,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,2,1,4,2,1,5,1,4,2,2,1,2,1,1,1,4,4,4,4,1,4,2,4,2,1,1,1,1,2,4,4,2,4,2,2,4,4,1,2,2,1,1,1,1,3,2,2,1,4,3,3,2,2,4,4,4,1,1,1,4,2,4,4,2,1,1,1,1,1,4,4,2,2,2,1,2,1
220,"ATHOS AVELINO","PPS","MG",1,2,1,2,4,2,1,1,2,1,2,1,1,1,1,1,2,1,2,4,2,2,1,1,4,2,2,4,4,4,1,1,2,1,1,1,1,1,2,2,4,2,1,4,1,1,1,2,2,1,1,1,4,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,2,1,4,2,1,5,1,2,2,2,1,4,1,1,1,4,4,4,4,4,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,4,1,4,2,1,1,1,1,2,4,4,4,4,4,4,2,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1
38,"ATILA LINS","PPS","AM",1,2,1,4,1,2,4,1,2,4,2,1,1,1,4,1,4,1,2,4,4,2,1,1,4,4,4,4,4,4,1,1,2,1,4,4,4,1,4,4,4,4,1,2,1,1,1,2,4,1,1,1,5,4,4,2,1,2,2,3,3,1,1,4,2,4,2,1,2,1,4,2,1,2,1,2,4,2,1,2,1,4,1,2,1,2,4,4,2,4,2,2,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,2,4,4,4,1,4,4,2,2,2,1,4,4,4,4,4,4,4,2,4,4,2,1,4,1
109,"ATILA LIRA","PSDB","PI",1,2,1,4,2,4,1,1,1,1,5,2,2,5,1,1,4,1,1,4,1,1,4,1,1,4,1,4,4,4,1,1,4,1,1,1,4,1,2,2,5,1,2,5,1,2,5,2,2,1,2,1,4,1,2,4,4,1,1,1,1,1,1,1,1,1,5,5,4,1,4,1,5,2,1,4,2,2,2,4,1,4,4,2,1,1,4,4,2,1,2,2,2,2,1,1,1,1,1,1,4,4,1,1,1,2,1,1,1,2,2,1,5,1,1,1,1,2,5,2,1,2,1,2,4,1,1,2,5,5,5,5,5,2,1,1,1,1,4,5,4,4,4,4,4
489,"AUGUSTO NARDES","PP","RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,2,2,2,4,4,4,1,4,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,4,2,2,1,1,1,1,4,2,2,2,4,2,1,4,2,1,5,2,2,2,2,1,4,1,1,1,2,1,1,1,1,2,2,2,4,1,1,4,1,4,2,4,4,2,4,4,4,2,4,1,2,4,1,1,1,4,4,2,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,2,1,1,1,4,1,4,2,4,2,4,4,4,4
489,"AUGUSTO NARDES","PPB","RS",1,2,1,2,2,1,4,2,1,3,4,1,2,2,4,4,4,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"B  SA","PPS","PI",1,2,1,4,1,2,1,1,1,1,2,1,1,1,1,1,4,1,2,4,2,2,1,1,2,2,2,1,1,2,1,1,2,1,1,1,1,4,4,4,4,2,1,2,1,1,1,2,2,1,1,1,4,2,1,2,1,2,2,1,1,1,1,4,4,2,2,1,2,1,4,2,1,5,1,2,2,2,1,2,1,1,1,2,1,2,4,4,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,4,4,4,4,1,1,4,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,4,4,4
21,"BABA","PT","PA",1,2,1,4,1,2,1,1,4,1,2,1,1,1,4,1,4,4,4,4,4,2,4,4,4,4,4,1,1,2,1,4,4,1,4,4,4,4,2,2,2,1,2,2,2,2,4,3,2,1,2,2,4,4,4,4,4,4,4,1,1,2,1,2,2,1,1,2,1,2,4,1,2,2,2,2,1,3,1,2,2,3,2,1,2,2,2,2,1,4,4,2,2,1,1,1,1,4,1,4,4,4,4,2,1,4,1,1,2,1,2,2,5,5,2,2,3,3,2,2,4,4,1,1,4,1,2,2,2,2,2,4,2,3,1,1,1,2,4,4,4,4,4,4,4
416,"BARBOSA NETO","PMDB","GO",4,2,1,2,4,4,1,4,4,1,4,1,2,1,1,1,4,4,4,5,2,4,4,4,2,2,4,4,4,4,4,4,2,4,4,4,4,1,2,2,4,4,2,2,2,2,1,2,4,1,2,1,5,4,4,4,4,4,2,1,1,1,1,4,2,2,4,1,4,1,4,2,4,4,1,4,2,4,4,2,4,4,1,4,4,4,4,4,2,2,4,2,1,1,4,4,2,4,4,4,2,4,2,4,2,4,2,4,1,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,"BARBOSA NETO","PSB","GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,1,1,1,4,4,4,4,4,1,4,4,4,2,4,1,2,4,4,4,4,1,4,4,4,2,4,4,4,4
182,"BASSUMA","PT","BA",1,2,1,2,1,4,NA,NA,2,1,2,1,1,1,1,4,4,1,2,4,2,4,1,4,2,2,2,4,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,"BENEDITO DE LIRA","PP","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,4,2,2,1,1,2,3,1,4,1,1,1,1,1,1,1,2,4,1,2,1,1,1,2,2,1,1,1,4,2,1,4,2,2,2,1,1,1,1,2,2,2,2,4,2,1,4,2,1,4,1,2,2,2,1,4,1,4,1,2,1,2,2,1,2,2,4,2,2,1,1,1,2,4,2,2,2,2,2,2,4,1,4,4,4,4,4,4,2,2,2,4,1,1,1,4,4,1,1,1,4,1,4,4,2,2,1,2,1,1,1,1,1,4,2,2,2,2,1,2,1
162,"BENEDITO DE LIRA","PPB","AL",NA,NA,NA,2,2,1,1,1,1,1,4,1,1,1,1,1,2,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
